system:index,deforestation_amount,year,.geo
0,2527090.002793495,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7331419.468446501,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2741256.023542816,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.004777068545257E7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6189240.433693321,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.7005797532977175E7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8969551621818032E7,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.7670302956192315E7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.9991591014265224E7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.835553977888088E7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.008679849750115E7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.987545758620582E7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.6108492943558518E7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.8545787700567037E7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.208151451170655E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.329193336139323E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.4028149608567903E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0462057884519331E7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.106321075837857E7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,9865236.405521648,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.0653684669473806E7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.2128363603367943E7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.8866218764001466E7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
