system:index,0,1,2,3,4,5,6,7,8,month,null,.geo
0,9285089.0,1.0024807E7,397603.0,35394.0,312213.0,209832.0,78418.0,80731.0,115377.0,2017-01,5950667.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9380584.0,1.0140005E7,401507.0,38558.0,317572.0,211295.0,79842.0,82186.0,116023.0,2017-02,5722559.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,9380584.0,1.0140005E7,401507.0,38558.0,317572.0,211295.0,79842.0,82186.0,116023.0,2017-03,5722559.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8843969.0,5940750.0,285657.0,39787.0,78705.0,169530.0,70474.0,13815.0,33178.0,2017-04,1.1014266E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.0062693E7,1.4036046E7,661047.0,47488.0,126105.0,210283.0,103330.0,12389.0,57632.0,2017-05,1173118.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.0003792E7,1.3849804E7,662290.0,51736.0,113245.0,203934.0,108061.0,16883.0,65705.0,2017-06,1414681.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.0003848E7,1.3847494E7,663778.0,51205.0,116137.0,203748.0,108054.0,16883.0,65403.0,2017-07,1413581.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0069793E7,1.4019917E7,650235.0,51954.0,120322.0,138867.0,106911.0,14849.0,57628.0,2017-08,1259655.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0166948E7,1.4404444E7,654726.0,49114.0,118821.0,127943.0,114059.0,9465.0,41400.0,2017-09,803211.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0141907E7,1.4436758E7,629956.0,35906.0,111676.0,106284.0,104369.0,7219.0,34643.0,2017-10,881413.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0141907E7,1.4436758E7,629956.0,35906.0,111676.0,106284.0,104369.0,7219.0,34643.0,2017-11,881413.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.017392E7,1.4535752E7,718041.0,29623.0,236663.0,97423.0,104716.0,5453.0,30789.0,2017-12,557751.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.017422E7,1.4536426E7,716822.0,29620.0,238113.0,96652.0,104359.0,5404.0,30764.0,2018-01,557751.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.0119719E7,1.4517091E7,719164.0,30637.0,239992.0,97135.0,104005.0,5404.0,30910.0,2018-02,626074.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0142545E7,1.4543211E7,712238.0,28990.0,242959.0,94818.0,105523.0,4968.0,26401.0,2018-03,588478.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0154931E7,1.4547922E7,714771.0,27450.0,243666.0,94435.0,106334.0,4778.0,25633.0,2018-04,570211.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,9657580.0,1.1129234E7,639058.0,47299.0,442050.0,105929.0,124623.0,33752.0,91686.0,2018-05,4218920.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9926900.0,1.2920282E7,587958.0,48685.0,177228.0,100147.0,126195.0,28246.0,86958.0,2018-06,2487532.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9931142.0,1.3060647E7,568134.0,48059.0,144257.0,96302.0,124974.0,28427.0,82617.0,2018-07,2405572.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0025806E7,1.3005931E7,567296.0,53955.0,113044.0,85308.0,125775.0,15998.0,67360.0,2018-08,2429658.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
